@relation 'feature_compiled_all-weka.filters.unsupervised.attribute.Remove-R46-50,53,56-60-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R2-3,6-13,15-20,23,25,28,30-32,35-45'

@attribute NumDots numeric
@attribute UrlLength numeric
@attribute NumDash numeric
@attribute NumNumericChars numeric
@attribute PathLength numeric
@attribute QueryLength numeric
@attribute NumSensitiveWords numeric
@attribute PctExtHyperlinks numeric
@attribute PctExtResourceUrls numeric
@attribute InsecureForms numeric
@attribute PctNullSelfRedirectHyperlinks numeric
@attribute FrequentDomainNameMismatch numeric
@attribute ExtMetaScriptLinkRT numeric
@attribute PctExtNullSelfRedirectHyperlinksRT numeric
@attribute CLASS_LABEL {0,1}

@data
3,72,0,0,44,0,0,0,0.25,1,0,0,-1,1,1
3,144,0,41,16,103,1,0,0,1,0,0,1,1,1
3,58,0,0,24,0,0,0.375,1,1,0,0,-1,0,1
3,79,1,0,50,0,0,1,0.095238,1,0,1,1,-1,1
3,46,0,2,29,0,0,1,1,0,0,1,-1,-1,1
3,42,1,0,12,0,0,0.1,1,1,0,0,-1,1,1
2,60,0,1,36,0,0,0.909091,1,1,0,1,-1,-1,1
1,30,0,3,11,0,0,0,0,1,0,0,1,1,1
8,76,1,2,4,0,0,0,0,1,0.975,0,1,-1,1
2,46,0,0,25,0,0,1,1,1,0,1,-1,-1,1
5,64,1,3,4,0,0,0,0,1,0.975,0,1,-1,1
2,47,0,1,18,0,1,1,1,1,0,1,-1,-1,1
2,61,1,0,10,0,0,0,0,0,1,0,1,-1,1
2,35,0,0,12,0,0,0,0,1,0,0,1,1,1
2,60,1,0,10,0,0,0,0,1,1,0,1,-1,1
3,73,0,0,33,0,1,1,0.076923,1,0,0,0,-1,1
3,50,0,10,30,0,0,0,0,1,0,1,1,1,1
3,59,1,7,16,0,0,1,1,1,0,1,-1,-1,1
2,28,0,1,12,0,0,0,0,1,0,0,1,1,1
1,59,0,22,40,0,0,0,0.125,1,0.923077,0,1,-1,1
1,32,0,4,14,0,0,0,0,1,1,0,1,-1,1
5,52,0,1,20,0,0,0,0.153846,1,0,0,1,1,1
2,62,1,0,37,0,0,0.833333,0.235294,1,0.083333,0,0,-1,1
1,105,2,24,87,0,0,0,0,1,0,0,1,1,1
4,55,0,0,17,0,0,1,1,1,0,1,-1,-1,1
5,134,3,1,56,56,1,0,0,1,0,0,1,1,1
2,43,0,0,22,0,0,0,0.785714,1,1,1,1,-1,1
6,210,2,24,54,139,1,0,0.904762,1,0,0,-1,1,1
2,135,2,1,51,54,1,0,0,1,0,0,1,1,1
5,85,0,0,69,0,0,0.655172,0.928571,1,0.103448,1,-1,-1,1
2,80,0,17,41,0,0,0,0,1,1,0,1,-1,1
2,44,0,4,18,0,0,1,0.142857,1,0,0,0,-1,1
3,95,0,16,78,0,0,0,0,1,1,0,1,-1,1
2,60,1,0,38,0,0,0,0,1,0,0,1,1,1
2,60,0,0,41,0,2,0.75,0.222222,1,0.125,0,0,-1,1
6,100,1,8,18,52,1,1,1,1,0,1,-1,-1,1
6,111,1,18,18,52,1,1,1,1,0,1,-1,-1,1
2,29,0,0,6,0,0,0,0,1,0,0,1,1,1
2,37,2,0,6,0,0,0,1,1,1,0,-1,-1,1
3,49,2,0,18,0,0,0,1,1,0,1,-1,1,1
1,34,0,0,13,0,0,1,0.142857,1,0,0,0,-1,1
3,53,1,0,24,0,0,1,1,1,0,1,-1,-1,1
2,45,0,0,24,0,0,1,0.142857,1,0,0,0,-1,1
3,65,0,0,42,0,0,0.777778,0.222222,1,0.222222,0,0,-1,1
5,182,0,75,37,107,2,0,0,1,0,0,1,1,1
3,47,0,0,21,0,0,0.5,0.675676,1,0,0,0,0,1
4,55,0,0,32,0,0,0,0,1,0,0,1,1,1
2,62,0,0,42,0,1,0.714286,0.03125,1,0.114286,0,1,-1,1
2,59,1,0,34,0,0,0,0,1,0,0,1,1,1
3,39,0,0,14,0,0,1,1,1,0,1,-1,-1,1
2,41,0,1,23,0,0,1,1,1,0,1,-1,-1,1
2,142,0,5,121,0,1,0,0,1,0,0,1,1,1
2,29,0,0,5,0,0,0,0,1,1,0,1,-1,1
4,51,1,0,28,0,0,0.75,0,1,0,0,1,-1,1
3,39,0,0,17,0,0,0.8,1,1,0.12,1,-1,-1,1
3,48,0,0,17,0,0,0,0.153846,1,0,0,1,1,1
2,59,1,0,25,0,0,0,0,1,0,0,1,1,1
2,129,2,1,51,48,1,0,0,1,0,0,1,1,1
3,34,1,0,5,0,0,0.25,0.111111,1,0.5,0,0,-1,1
8,184,2,26,34,66,1,0,0.333333,1,0,0,0,1,1
8,184,2,33,34,66,1,0,0.333333,1,0,0,0,1,1
2,135,2,1,51,54,1,0,0,1,0,0,1,1,1
2,133,2,1,51,52,1,0,0,1,0,0,1,1,1
4,52,0,0,28,0,0,0.75,0,1,0,0,1,-1,1
4,58,0,4,15,18,0,1,0,1,0,0,1,-1,1
5,120,1,22,90,0,2,0.857143,1,1,0.071429,1,-1,-1,1
3,48,1,0,25,0,0,1,1,1,0,1,-1,-1,1
4,58,1,0,35,0,0,0,0.090909,1,1,0,1,-1,1
1,32,0,0,17,0,0,0,0,1,1,0,1,-1,1
2,37,0,0,8,0,0,0,0,1,0,0,1,1,1
2,63,0,4,5,33,0,0,0,1,0,0,1,1,1
5,120,1,20,90,0,2,0.857143,1,1,0.071429,1,-1,-1,1
2,52,0,1,20,0,1,0.75,0.222222,1,0.125,0,0,-1,1
5,58,0,12,36,0,0,0.666667,0,1,0.333333,1,1,-1,1
2,51,0,0,26,0,0,0,0.071429,1,1,0,1,-1,1
1,73,0,3,52,0,0,0,0.5,1,1,0,0,-1,1
3,57,0,0,35,0,1,0,0,1,0,0,1,1,1
2,32,0,0,8,0,0,0,0,1,0,0,1,1,1
2,52,0,0,24,0,0,0.347826,0,0,0,0,1,0,1
1,47,1,0,9,7,0,0,0,1,0,0,1,1,1
1,59,1,18,38,0,0,0.5,0,1,0.5,0,1,-1,1
5,135,1,0,77,39,1,0.941176,0.945946,1,0,1,-1,-1,1
2,34,1,0,9,0,0,0.914163,0.08,1,0.008584,1,0,-1,1
1,153,0,47,131,0,0,0,0,1,1,0,1,-1,1
2,51,1,0,27,0,0,1,1,1,0,1,-1,-1,1
5,120,1,17,90,0,2,0.857143,1,1,0.071429,1,-1,-1,1
3,67,1,0,44,0,2,0,0,1,0,0,1,1,1
2,41,0,0,16,0,0,0.857143,0.6,1,0.142857,1,0,-1,1
2,40,0,0,15,0,0,0.857143,0.6,1,0.142857,1,0,-1,1
1,39,1,0,9,0,0,0,0,1,0,0,1,1,1
3,58,1,0,23,0,0,0,0.153846,1,0,0,1,1,1
2,46,1,0,25,0,0,0.777778,0.222222,1,0.222222,0,0,-1,1
4,48,0,0,16,5,0,0,0.642857,1,0,0,0,1,1
2,139,0,43,60,50,0,0,0.625,1,0,0,0,1,1
1,79,1,32,59,0,0,0,0,1,0,0,1,1,1
1,79,1,30,59,0,0,0,0,1,0,0,1,1,1
3,53,0,0,17,0,0,0,0,1,0,0,1,1,1
2,53,0,0,36,0,0,0,0.0625,1,1,0,1,-1,1
3,70,0,0,37,0,0,0,0,1,0,0,1,1,1
3,49,0,0,14,0,0,0,0,1,1,0,1,-1,1
12,149,2,18,58,0,1,1,1,1,0,1,-1,-1,1
4,152,2,4,39,87,0,0,0.2,1,0,0,0,1,1
3,82,0,4,36,12,0,0,0.166667,1,0,0,0,1,1
2,39,0,0,22,0,1,0.75,0.111111,1,0.125,0,1,-1,1
1,39,0,2,9,0,0,0,0,1,0,0,1,1,1
1,50,1,0,20,0,0,0,0,1,0,0,1,1,1
5,79,0,0,42,0,0,0,0,1,0,0,1,1,1
1,25,0,0,5,0,0,0.933333,1,1,0,1,-1,-1,1
3,212,0,48,33,156,0,0.090909,0.73913,1,0,1,0,1,1
3,57,0,0,33,1,0,0.090909,0.73913,1,0,1,0,1,1
3,47,0,0,22,0,0,0,0.153846,1,0,0,1,1,1
1,52,0,23,36,0,0,0,0,1,1,0,1,-1,1
2,40,0,0,17,0,0,1,1,1,0,1,-1,-1,1
1,37,0,0,14,0,0,0,0,1,0,0,1,1,1
2,37,0,0,15,0,0,0,0.071429,1,1,0,1,-1,1
3,64,2,0,20,0,0,1,0.142857,1,0,0,0,-1,1
2,42,0,0,22,0,0,0,0,1,0,0,1,1,1
2,43,0,0,23,0,0,0,0,1,0,0,1,1,1
2,42,0,0,22,0,0,0,0,1,0,0,1,1,1
2,49,0,2,29,0,0,1,0.9,1,0,1,-1,-1,1
3,64,0,1,36,0,0,0.909091,1,1,0,1,-1,-1,1
2,68,0,0,38,0,0,1,1,1,0,1,-1,-1,1
2,48,2,0,24,0,0,0.007299,0.325,1,0.934307,0,0,-1,1
2,49,2,0,25,0,0,0.25,0.1875,1,0.75,0,0,-1,1
